,momentum,quality,growth,vol,value,size,sector_0.0,sector_1.0,sector_2.0,sector_3.0,sector_4.0,sector_5.0,sector_6.0,sector_7.0,sector_8.0,sector_9.0
2006-01-31,1.0095289775626477,0.9997518407884879,1.0043104081306928,1.0169674538391145,0.9936725292899073,0.9859563248066443,1.0457265668774212,1.0760312445612663,1.0521487499010138,1.0284279512008445,1.1416882062898264,1.05927121689618,1.0365596253838851,1.041356353452092,1.0889408781889816,1.0426183471368864
2006-02-28,1.0054116540172466,0.9979424290143911,1.0037279848258938,1.0063777028232495,0.9976944756562969,0.9802469520332184,1.080351289204223,1.0612317307073131,1.0684378986757759,1.028640934710599,1.0395578270573242,1.062088693848307,1.0520979749597013,1.0453285018908571,1.1418915667282417,1.0401308471397768
2006-03-31,1.0117895660612028,1.002042428617275,1.0041435276853472,1.0093779014793118,0.9947977913064989,0.9704790279330493,1.141648526189239,1.1188994751474837,1.096089920837873,1.0508755851049687,1.0933217026557631,1.0914593518631504,1.0512998168925436,1.0789497039491636,1.2075253115062965,1.005773845967702
2006-04-28,1.0097003526253747,0.9985690359234503,1.0059678430041816,1.0143218667529768,0.9940249249340218,0.9732429977290289,1.167639453064508,1.161454604689063,1.1308698037425904,1.0606019662559745,1.147180805371608,1.0901117802698377,1.0151365621059607,1.0943218166450108,1.2071145777455512,1.0258462184694601
2006-05-31,0.9984517873853832,0.9970754385300599,1.0112070352852567,1.0033330627467056,0.9909530235821253,0.9708354878096845,1.1352463963822277,1.122518020475809,1.0852897824094168,1.0344661376290474,1.1371359341174125,1.0137457726219665,0.9891826723440297,1.0972081292789824,1.1620309930202204,1.0228550010840132
2006-06-30,1.0025343639738442,1.0004248404040974,1.010681081715916,1.0071626490787626,0.9922020197516499,0.9729262525079058,1.1398226243075469,1.122009309293056,1.0874574584999412,1.032379862613088,1.1507007288408957,0.9930153455022677,0.9920394716687215,1.1142655583702017,1.2146225140325906,1.0504076986461002
2006-07-31,1.001693632002274,0.9970654383011714,1.0155820727308378,0.9873639957846997,0.9958416708395956,0.9779246181132645,1.0496896051766,1.0862932061925015,1.081043546048316,0.9890928017997098,1.18048077481154,0.953217480263684,1.0252855323550403,1.1042860160796333,1.2356605638591052,1.087874882274956
2006-08-31,0.9875012924127866,0.9948256009406184,1.0163352261907639,0.9880714731027341,0.9949431804964177,0.9752282371240371,1.0673771954482096,1.1197731759259322,1.1043938124116677,1.0177124367866244,1.1341264862204394,1.0280220646290312,1.0555607155340798,1.1375555496627958,1.2682916403469473,1.1125348416001823
2006-09-29,0.9893842493296731,0.998333323856099,1.013533016146451,0.9896864878972303,0.9973274299046085,0.9782927946834186,1.1012467033389846,1.1239971042593437,1.1473075200565128,1.07912238151742,1.0705081299753019,1.0671177145500033,1.0655965093173991,1.1459080053984465,1.316896328096549,1.0927923581102854
2006-10-31,0.990022552322992,1.0023323811384417,1.0100360218012054,0.9932463181310247,0.9916297305112071,0.9768046115104265,1.150145752565493,1.2030298723715325,1.1901056717761955,1.1482193768957132,1.1258593551405935,1.1018178716972429,1.076040953852215,1.1628652086594917,1.355912861431379,1.162526144905593
2006-11-30,0.9884991655900393,1.003308703940477,1.008353950287844,0.997861105178345,0.9909593936901538,0.9682825077076604,1.1905928330928446,1.2723503412110937,1.2232714054402263,1.1754573743573955,1.2267357336669211,1.149084540816631,1.082766614571407,1.1707630247740441,1.378674344777706,1.2122065952530485
2006-12-29,0.991751363277982,0.9974414946388103,1.007114090920433,0.9878370627945989,0.9999041189047119,0.9690070043391904,1.188210477484732,1.2859912283842676,1.2426539638466403,1.1966744661099566,1.1765649582735256,1.1444460199247897,1.098664120297819,1.189959416771683,1.4228897452474856,1.2041227731649082
2007-01-31,0.9962012108289531,0.997600510179275,1.0040791048440492,0.997293421447245,0.9965514404126071,0.9633232469190106,1.23780740827311,1.3480788042657035,1.2906293874028458,1.2361669682339014,1.185779534658004,1.1648308780059167,1.146110493859013,1.231459576815853,1.46948535238159,1.2166978301367937
2007-02-28,0.9926790650536322,0.9986474856767709,1.0012444772404603,0.9967565485898703,0.9962122143613621,0.9497493107218836,1.2474199268632784,1.3954758553964681,1.2758652179612506,1.2171782798241513,1.1901043196870191,1.1596338546742537,1.1390695471634447,1.2309473068043673,1.500253412808595,1.2780373712941857
2007-03-30,1.0037563668009502,0.9975455165018481,1.005619822111498,1.0003588883870804,0.9985692916995069,0.9505527397065501,1.260619453884766,1.4147436611106425,1.261131671976211,1.2177943993404028,1.2625078342833111,1.1622176473007115,1.1584393667082502,1.2603502607636645,1.517938848710013,1.3381710392348956
2007-04-30,0.996872717638201,1.00345153418336,1.00676468021223,1.007269566566103,0.9993586070769215,0.95142121118968,1.3206106776597217,1.4574548933050875,1.3093290593685163,1.257411464266329,1.325385888879531,1.2054080080765663,1.2355763246062756,1.3041142393560492,1.5443962846277357,1.410421863213238
2007-05-31,0.9989496945820118,1.0053986721783446,1.0089887772086907,1.0144729756025923,0.9997677707297994,0.9504356864323157,1.4027101925606584,1.5328784171393905,1.3444350091021944,1.2970719653260498,1.4244952535929112,1.2497008764592115,1.262651012019631,1.3264078621835222,1.6995931173634713,1.4318398209272667
2007-06-29,0.9995051203377877,1.0058243647277216,1.011323649484955,1.013444610442591,0.9961607188508868,0.9510511668251165,1.4046072813923434,1.5376994601437912,1.2900208638011765,1.2768366410503578,1.4440014314936942,1.2568930806338798,1.2256237169012774,1.3040918097536145,1.6454605361131989,1.3539898981034517
