stock,momentum,quality,growth,vol,value,ln_mktcap,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
S002,0.0014128379585274294,0.0015874754828924377,0.0020692821251471704,0.002165601923674932,-0.0013622103502499963,-0.0007352585095839138,0.0006487845059942935,-0.0007972455341549548,0.011659747659042517,0.00010696082121984302,-0.0036262195706331856,-0.0025009390825944293,-0.0006516005554822448,0.001503053265087749,0.003020941838730882,0.002060139792467292
S044,-0.0022771007468886284,-0.0016312069018314325,0.004224494159398955,0.00039062175515180693,-0.0009924450346394343,0.000407548778631843,-6.77354776027549e-06,0.02675849116337474,0.0012340981934550331,-0.0005188043993383911,0.001359853626681385,-0.0015305113762400448,-0.0007778167223388575,0.000569006449989961,-0.002271440836234847,0.000595417409767664
S045,0.005022472153718467,-0.00017932791672305346,0.0022039700567341764,-0.000428852114848381,-0.0022213509125955256,0.005230688813044629,0.00036897387339634785,0.003791204021107666,-0.0008618357727934171,0.0034603402914234497,-0.00694405695324711,0.009474531772828853,-0.0025344716898409655,0.0009594871897579333,-0.004624757986089687,0.0020249823861233345
S047,0.0020277491397280023,0.0007430335021865928,-0.0006701372047145015,-0.002274419906833794,-2.9960997019045114e-06,-0.001376956774946428,-0.0005647701916702252,-9.409721647857684e-05,-0.001182346754970021,0.0007975093459208494,0.00011085550206297006,0.0017116592904605813,0.013363242415015747,-0.000524474078106428,-0.0002570490719683105,-0.001781965305216505
S049,0.000569747259847688,-0.0013955587131308682,-0.00010283898782359989,8.608941882783583e-05,0.001559367244792077,0.0001879648342748821,1.4478574898757837e-05,-1.491761869832584e-05,0.008532935271262903,0.00024379766198652107,-0.0008323648665957265,0.000404190904913113,0.00021917017777732214,0.0006611442521468972,-0.0006487181404101776,7.593689722059163e-06
S050,0.0001399236778695125,-0.0017610388406035984,0.009655380193735037,-0.0011994564014446256,-0.0009351456282441434,0.00040117742609678596,-0.000662729542550019,0.001929922308059509,0.0012627951190991792,0.0010718650008413756,-0.0013289991365883448,0.008340462118439494,-0.0015044763830608572,0.0012025234417501207,-0.0046625682538465945,0.0006058587132282184
S051,0.008037179913060435,-0.00015496890694911754,-0.0008258482387144988,-0.0007215773746046734,-0.0002448655985230576,-0.0008082923965889272,0.0005039838712543921,0.0006627293962363145,-0.0007063477711304391,0.0029658019902136833,-0.00791970032562446,0.010246870458984397,-0.0016572487396578368,0.0028988392919573553,0.0006665431034781181,9.635182875763321e-05
S052,0.0010257479220333226,-0.000718809587075364,0.0001869709961652434,-0.0007782856130632138,0.00081758003176025,-0.0014498976379123433,-0.00018586397536737913,-0.00035301991123189375,0.008776209459522557,0.0001949161565411088,-0.00018944725698693686,0.0005935381223691873,8.436108672690699e-05,0.0005889420332741509,4.4618885283712615e-05,-0.0008742483108191514
S054,-0.00019702915580552998,0.0004769331913768188,-0.0005601859440619288,0.001623549490272169,0.0021567048458581884,0.0006146879586562629,0.00014757907746043857,-0.0013953089961885649,0.0001656438992241854,-0.00028965334053558027,-0.001502961688169557,0.009531554586066955,0.0011421763074167535,5.490642682063902e-05,0.001828981629312462,0.001291392459475716
S055,-0.001496435527705658,-0.0013134548296975617,-0.0007808655861959053,-0.0011101537741535523,0.0024075824100069456,-0.0026487898430933438,-0.0005539897736160731,-0.001438814546019477,-0.0008812992164768014,-0.001081730513742163,0.024145694378782303,0.0014215573160918874,0.0013225238854305422,-0.0002700204782776555,0.00044840188146965873,-0.0019626175932819924
S056,0.0003913236864229436,-0.0009773471834249267,1.3963920048804478e-05,0.0004675780713742836,0.001706268657032153,-0.0003320394719433944,4.702112230552894e-05,-0.0005868607359196495,0.008950562083479706,-2.0008295257763404e-05,-0.0008881127116215429,0.00011254191711247068,0.00045382860224741435,0.0007178758468143317,0.00033534179415671355,0.00019245908848510213
S057,0.00548810974595522,0.0031644131209635842,0.0009408218294860625,0.004988175205493177,-0.00209968846821758,-0.00010917691093713142,0.0018051314269698366,-0.001369450894638437,0.013198263344134025,0.0012204949763412775,-0.010471537000917155,-0.004498700146929049,-0.0014691420118688216,0.0036401905443991514,0.006655057611035408,0.004769300678963671
S058,-0.0027499517725904886,-0.001527564002555369,0.0011968888608349122,0.003845272789080284,-0.0016080091353159235,0.0014813033080058116,0.0012738184800043103,0.0007005876381722598,0.002646801750830652,0.0075816744146708056,-0.0004813940946490174,-0.0035733848522810146,-0.0010018785498433756,0.0017216687335560588,0.0006179718235608906,0.0028392673948724402
S059,0.0015332043466563783,0.002196862758469539,1.0154777670828244e-05,0.004458658943212045,-0.0018121368955551433,0.00177127939431546,0.001453947035045604,-0.0005131401613755797,0.012140166721936458,0.00020310039661045488,-0.0058651267322883185,-0.0036197928055922363,-0.000846918626756091,0.0017190449580589291,0.004065987084281971,0.004137489114838366
S060,0.0053796654503624345,-0.00013587168276231232,0.0015660982889640692,0.003164967123360787,0.0002714957078536809,-0.0010903590225020722,0.0012594547467833991,-0.00092681221096301,0.002268171465495736,0.010182326013768658,-0.00875376923593193,-0.0027943725054408843,-0.0011669429678968792,0.004191011000976657,0.003764542196265727,0.002896691334910377
S062,0.002595015861437724,0.0007685673271783765,-0.0003691016939187908,-0.0012962327138444736,-0.0002946612118760112,-0.0010928312521650252,-0.00020868634313867858,-7.892676507714085e-05,-0.0005292448021291097,0.009780673290300268,-0.001453229891930058,0.0008469952372072531,-0.00029629787451248304,0.0002007442804139336,0.00038095574694526724,-0.0008792649998208531
S063,0.0002046089078488665,-0.0005990842714752764,0.00035113842892262677,-0.0010804244592239754,0.00017534693941299525,-0.00032143927182412763,-0.00028848677407207485,0.00036966809888395406,0.008542847648726067,0.0002265420101086081,0.0007024706313924401,0.0007183310118164157,-8.367380604123067e-05,-0.0001225145864035981,-0.0011733889506755715,-0.0008552445336593426
